,RHY,RHR,RHP,RKN,RAP,RAR,LHY,LHR,LHP,LKN,LAP,LAR,RSP,RSR,RSY,REB,RWY,RWR,RWP,LSP,LSR,LSY,LEB,LWY,LWR,LWP,NKY,NK1,NK2,WST,RF1,RF2,RF3,RF4,RF5,LF1,LF2,LF3,LF4,LF5
,,,-0.426537,+0.447375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.426960,+0.444750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.427384,+0.442125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.427807,+0.439500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.428231,+0.436875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.428655,+0.434250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.429078,+0.431625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.429502,+0.429000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.429925,+0.426375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.430349,+0.423750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.430773,+0.421125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.431196,+0.418500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.431620,+0.415875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.432043,+0.413250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.432467,+0.410625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.432891,+0.408000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.433314,+0.405375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.433738,+0.402750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.434161,+0.400125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.434585,+0.397500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.435008,+0.394875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.435432,+0.392250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.435856,+0.389625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.436279,+0.387000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.436703,+0.384375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.437126,+0.381750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.437550,+0.379125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.437974,+0.376500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.438397,+0.373875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.438821,+0.371250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.439244,+0.368625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.439668,+0.366000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.440091,+0.363375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.440515,+0.360750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.440939,+0.358125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.441362,+0.355500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.441786,+0.352875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.442209,+0.350250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.442633,+0.347625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.443057,+0.345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.443480,+0.342375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.443904,+0.339750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.444327,+0.337125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.444751,+0.334500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.445174,+0.331875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.445598,+0.329250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.446022,+0.326625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.446445,+0.324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
